year,imd_decile,ethnic_group,infant_deaths,infant_mortality_rate,rate_unreliable_flag
2012,5,Any_Other_ethnic_group,3,2.5,True
2012,5,White,153,3.0,False
2012,6,Asian,27,5.2,False
2012,6,Black,12,7.2,True
2012,6,Mixed_or_multiple,16,5.3,True
2012,6,Any_Other_ethnic_group,3,3.1,True
2012,6,White,139,2.8,False
2012,7,Asian,21,5.2,False
2012,7,Black,5,4.5,True
2012,7,Mixed_or_multiple,6,2.3,True
2012,7,Any_Other_ethnic_group,3,4.0,True
2012,7,White,137,2.9,False
2012,8,Asian,12,3.5,True
2012,8,Black,3,3.4,True
2012,8,Mixed_or_multiple,10,3.7,True
2012,8,Any_Other_ethnic_group,4,6.2,True
2012,8,White,129,2.7,False
2012,9,Asian,10,3.4,True
2012,9,Black,4,5.7,True
2012,9,Mixed_or_multiple,8,3.3,True
2012,9,Any_Other_ethnic_group,4,6.5,True
2012,9,White,135,3.0,False
2012,10,Asian,6,2.4,True
2012,10,Black,2,,True
2012,10,Mixed_or_multiple,7,3.0,True
2012,10,Any_Other_ethnic_group,0,,True
2012,10,White,119,2.9,False
2012,Total,Asian,417,5.3,False
2012,Total,Black,222,6.1,False
2012,Total,Mixed_or_multiple,163,4.5,False
2012,Total,Any_Other_ethnic_group,58,4.3,False
2012,Total,White,1719,3.4,False
2011,1,Asian,146,9.1,False
2011,1,Black,61,7.4,False
2011,1,Mixed_or_multiple,33,6.2,False
2011,1,Any_Other_ethnic_group,17,5.7,True
2011,1,White,278,4.5,False
2011,2,Asian,71,5.1,False
2011,2,Black,67,7.1,False
2011,2,Mixed_or_multiple,22,4.4,False
2011,2,Any_Other_ethnic_group,14,6.2,True
2011,2,White,249,4.5,False
2011,3,Asian,61,5.0,False
2011,3,Black,49,7.4,False
2011,3,Mixed_or_multiple,12,2.7,True
2011,3,Any_Other_ethnic_group,8,4.3,True
2011,3,White,233,4.3,False
2011,4,Asian,41,4.5,False
2011,4,Black,31,7.3,False
2011,4,Mixed_or_multiple,16,4.2,True
2011,4,Any_Other_ethnic_group,3,2.1,True
2011,4,White,212,4.0,False
2011,5,Asian,34,5.0,False
2011,5,Black,23,8.6,False
2011,5,Mixed_or_multiple,9,2.8,True
2011,5,Any_Other_ethnic_group,9,8.2,True
2011,5,White,167,3.4,False
2011,6,Asian,28,5.5,False
2011,6,Black,11,6.7,True
2011,6,Mixed_or_multiple,11,3.9,True
2011,6,Any_Other_ethnic_group,7,7.9,True
2011,6,White,165,3.3,False
2011,7,Asian,15,3.9,True
2011,7,Black,2,,True
2011,7,Mixed_or_multiple,14,5.6,True
2011,7,Any_Other_ethnic_group,2,,True
2011,7,White,135,2.9,False
2011,8,Asian,9,2.7,True
2011,8,Black,6,7.1,True
2011,8,Mixed_or_multiple,5,2.1,True
2011,8,Any_Other_ethnic_group,2,,True
2011,8,White,135,2.9,False
2011,9,Asian,14,5.0,True
2011,9,Black,5,7.4,True
2011,9,Mixed_or_multiple,7,3.2,True
2011,9,Any_Other_ethnic_group,2,,True
2011,9,White,130,2.9,False
2011,10,Asian,3,1.3,True
2011,10,Black,1,,True
2011,10,Mixed_or_multiple,8,3.9,True
2011,10,Any_Other_ethnic_group,0,,True
2011,10,White,106,2.5,False
2011,Total,Asian,422,5.6,False
2011,Total,Black,256,7.1,False
2011,Total,Mixed_or_multiple,137,4.1,False
2011,Total,Any_Other_ethnic_group,64,4.9,False
2011,Total,White,1810,3.6,False
2010,1,Asian,131,7.3,False
2010,1,Black,68,7.0,False
2010,1,Mixed_or_multiple,27,5.2,False
2010,1,Any_Other_ethnic_group,11,3.3,True
2010,1,White,327,5.4,False
2010,2,Asian,82,6.1,False
2010,2,Black,51,5.3,False
2010,2,Mixed_or_multiple,32,6.8,False
2010,2,Any_Other_ethnic_group,11,4.2,True
2010,2,White,241,4.4,False
2010,3,Asian,79,7.6,False
2010,3,Black,42,6.4,False
2010,3,Mixed_or_multiple,21,5.1,False
2010,3,Any_Other_ethnic_group,10,4.8,True
2010,3,White,208,3.9,False
2010,4,Asian,57,7.3,False
2010,4,Black,31,8.0,False
2010,4,Mixed_or_multiple,16,4.5,True
2010,4,Any_Other_ethnic_group,5,3.4,True
2010,4,White,202,3.8,False
2010,5,Asian,35,5.6,False
2010,5,Black,19,7.7,True
2010,5,Mixed_or_multiple,9,2.9,True
2010,5,Any_Other_ethnic_group,4,3.6,True
2010,5,White,168,3.3,False
2010,6,Asian,35,7.3,False
2010,6,Black,4,2.7,True
2010,6,Mixed_or_multiple,8,3.0,True
2010,6,Any_Other_ethnic_group,3,3.3,True
2010,6,White,168,3.5,False
2010,7,Asian,14,4.1,True
2010,7,Black,11,11.9,True
2010,7,Mixed_or_multiple,8,3.7,True
2010,7,Any_Other_ethnic_group,4,5.4,True
2010,7,White,148,3.2,False
2010,8,Asian,10,3.5,True
2010,8,Black,3,3.9,True
2010,8,Mixed_or_multiple,6,2.8,True
2010,8,Any_Other_ethnic_group,2,,True
2010,8,White,157,3.5,False
2010,9,Asian,8,3.2,True
2010,9,Black,1,,True
2010,9,Mixed_or_multiple,6,2.9,True
2010,9,Any_Other_ethnic_group,0,,True
2010,9,White,132,2.9,False
2010,10,Asian,10,4.5,True
2010,10,Black,5,8.8,True
2010,10,Mixed_or_multiple,7,3.7,True
2010,10,Any_Other_ethnic_group,1,,True
2010,10,White,85,2.0,False
2010,Total,Asian,461,6.4,False
2010,Total,Black,235,6.4,False
2010,Total,Mixed_or_multiple,140,4.4,False
2010,Total,Any_Other_ethnic_group,51,3.7,False
2010,Total,White,1836,3.7,False
2009,1,Asian,136,7.3,False
2009,1,Black,70,7.3,False
2009,1,Mixed_or_multiple,22,4.6,False
2009,1,Any_Other_ethnic_group,14,4.1,True
2009,1,White,297,5.1,False
2009,2,Asian,83,6.3,False
2009,2,Black,63,6.6,False
2009,2,Mixed_or_multiple,29,6.6,False
2009,2,Any_Other_ethnic_group,15,5.4,True
2009,2,White,238,4.5,False
2009,3,Asian,51,5.0,False
2009,3,Black,53,8.0,False
2009,3,Mixed_or_multiple,17,4.4,True
2009,3,Any_Other_ethnic_group,12,5.8,True
2009,3,White,231,4.5,False
2009,4,Asian,41,5.5,False
2009,4,Black,34,8.8,False
2009,4,Mixed_or_multiple,15,4.6,True
2009,4,Any_Other_ethnic_group,5,3.3,True
2009,4,White,201,4.0,False
2009,5,Asian,33,5.5,False
2009,5,Black,18,7.1,True
2009,5,Mixed_or_multiple,23,8.3,False
2009,5,Any_Other_ethnic_group,11,9.4,True
2009,5,White,170,3.5,False
2009,6,Asian,26,5.7,False
2009,6,Black,17,12.3,True
2009,6,Mixed_or_multiple,14,5.7,True
2009,6,Any_Other_ethnic_group,2,,True
2009,6,White,152,3.3,False
2009,7,Asian,20,6.4,False
2009,7,Black,6,6.6,True
2009,7,Mixed_or_multiple,4,2.0,True
2009,7,Any_Other_ethnic_group,4,5.4,True
